8,7,-8194989.230949167,461424.77321821975
9,7,-8195009.07944421,461341.7704207677
10,9,-8195025.319121973,461275.00730107806
11,3,-8195030.7323478935,461215.4618159494
100,8,-8194511.273157276,461486.47701529873
103,10,-8194455.619213362,461465.60678633075
104,8,-8194423.154412745,461440.0987287032
105,8,-8194367.500468831,461409.9528424162
24,47,-8194953.7758532725,461032.9644977948
25,72,-8194988.597872256,461098.23556397203
26,3,-8195039.687457853,461165.53136071004
27,28,-8194962.505063542,461210.7112988433
28,5,-8194956.857571275,461272.8337137766
29,0,-8194947.445084164,461327.426139021
30,42,-8194943.68008932,461406.49103075423
12,42,-8195046.815848092,461051.2689963408
13,27,-8195063.445969764,461010.15804152464
14,22,-8195072.546101748,460968.26619888877
15,18,-8195088.473424381,460887.30207642284
16,0,-8195101.260462428,460853.0964010399
17,0,-8195121.4213125985,460807.90809625137
18,95,-8195012.766350273,460800.9247280361
19,3,-8195007.431213134,460838.2706880079
20,0,-8194998.487258716,460878.12385565764
21,0,-8194995.581240472,460923.62451557396
22,8,-8194966.085991972,460959.32224446937
23,18,-8194956.517327297,461001.1359983232
31,26,-8194894.735156342,461415.90351786534
32,5,-8194887.205166653,461344.368615821
33,34,-8194906.030140876,461267.18622150994
34,8,-8194915.923707822,461218.64241020987
35,10,-8194862.588678237,461211.68566722056
36,17,-8194860.269763907,461269.65852546494
37,2,-8194816.210391642,461313.71789773065
38,6,-8194832.44279195,461378.64749896433
39,4,-8194765.194276387,461376.3285846345
40,4,-8194744.324047419,461318.3557263902
41,86,-8194816.210391642,461237.1937248481
42,30,-8194844.037363599,461158.35063763574
43,13,-8194892.734564524,461102.69669372117
44,35,-8194834.7617062805,461063.275150115
45,24,-8194874.183249886,461065.59406444477
46,53,-8194848.675192258,460986.75097723247
47,2,-8194853.3130209185,460956.6050909454
48,40,-8194799.977991333,460963.5618339347
49,12,-8194797.659077004,461033.1292638279
50,133,-8194783.745591025,461093.42103640205
51,43,-8194700.264675153,461086.46429341275
52,17,-8194690.989017834,461135.161494338
53,19,-8194762.875362057,460961.24291960493
54,43,-8194711.8592468025,460940.37269063696
55,10,-8194707.221418142,460986.75097723247
58,40,-8194700.264675153,461311.39898340084
59,13,-8194633.016159589,461297.4854974222
61,3,-8194684.032274845,461369.3718416452
62,17,-8194681.713360515,461438.93927153846
63,8,-8194605.189187633,461415.75012824073
64,41,-8194934.47502246,460803.5567451803
65,2,-8194885.777821535,460829.0648028078
66,27,-8194922.880450811,460849.93503177573
67,72,-8194839.39953494,460815.15131682914
68,22,-8194908.9669648325,460887.03766105213
69,0,-8194902.010221844,460914.8646330094
70,4,-8194802.296905663,460798.9189165207
71,34,-8194723.453818451,460829.0648028078
72,28,-8194758.237533398,460766.4541159039
73,83,-8194644.6107312385,460775.729773223
74,21,-8194667.799874537,460743.26497260615
75,59,-8194693.307932164,460699.20560034044
76,28,-8194602.870273302,460638.9138277663
77,17,-8194584.318958664,460727.0325722977
78,0,-8194609.827016292,460815.15131682914
79,49,-8194732.72947577,460873.1241750735
80,1,-8194806.934734323,460917.1835473392
81,24,-8194607.5081019625,460882.3998323926
82,13,-8194572.724387015,460880.0809180628
83,39,-8194570.405472686,460951.9672622858
84,37,-8194595.913530313,461019.2157778493
85,25,-8194556.491986707,461084.145379083
86,126,-8194633.016159589,461081.8264647532
87,0,-8194642.291816909,461137.48040866776
88,6,-8194660.843131547,461026.1725208386
